psraid,comp,cregion,rep,msa,fips,int_date,tz,usr,usr1,state,area,areaexch,q1,q2,q3a,q3b,q3c,q3d,q3e,q3f,q5,q6a,q6b,q7,q8,q9,q12,q12.1,q13,q14,q15,q16,datenew,activ01,activ17,activ33,activ54,activ58,activ71,activ73,activ82,activ87,q17,q19a,q19b,q19c,q19d,q19e,mar,mar2,mar3,mar4,margroup,date01a,date01b,date01c,date02_1,date02_2,date02_3,date02_4,date02_5,date02_6,date02_7,date02_8,date02_9,date02_0,date03,date04a,date04b,date05a,date05b,date05c,date05d,date05e,date05f,date06a,date06b,date06c,date06d,date06e,date06f,date06g,date06h,date07,date08,date09,date10,date11,date12,date12cd,date13,date13cd,date14,date15,date16,date17,sex,age,par,d2b,d2c,d2d,d2e,d2f,d2g,educ,empl,stud,hisp,race,polaf,polid,d6,d7,d8,d9,modem,bbw,inc,date02os,date12os,date13os,date14os,religos,modemos,recage2,density3,receduc,racethn,i_user,onldat,dow,e_user,homework,often,usertype,recq6ab,d2brec,child11,d2crec,child17,childol,online,long,olhome,olwork,student,denwt,file
11,1,1,175,35300,9009,101005,e,S,2,9,203,203272,9,2,4,2,2,3,1,3,1,1,1,1,1,2,10, , ,1,2, ,2,1,3, ,3,3,1,3,3,3,1,2,2,8,8,8,1, ,5, ,1,2, , , , , , , , , , , , , , , ,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,2,34,1,2,0, ,1, , ,5,2,3,2,1,3,3,5,2, , ,3, ,6, , , , , , ,2,4,3,1,1,2,1,1,1,1,4,1,2,1,0,8,1,1,6,0,2,3,4.22916666666667,1
12,1,1,38,14860,9001,92205,e,U,1,9,203,203378,2,2,1,1,9,4,1,2,1,1,1,1,1,1,4, , ,2, ,2, ,1,3,3,3,3,3,3,3,3,1,1,8,1,8,3,1, ,20, ,2,2, , , , , , , , , , , , , , , ,1,2,1,1,1,1,2,1, , , , , , , , ,3, ,2, , ,4,2, , , , ,1,50,2, , , , , , ,7,2,2,2,2,2,3,2,1, ,1,1,1,5, , ,CHURCH, , , ,3,4,4,2,1,2,4,1,3,2,4,1, ,99, ,99,9,3,4,0,0,2,1.14583333333333,1
13,1,1,13,35300,9009,92405,e,U,1,9,203,203389,2,1,1,1,4,2,4,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,55,2, , , , , , ,5,1,3,2,1,2,3,1,7, , , , ,3, , , , , , ,3,4,3,1,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.91666666666667,1
14,1,1,181,35300,9009,101105,e,S,2,9,203,203421,9,1,1,1,1,1,3,1,1,1,1,2, , ,6, ,1,2,2, ,2,2,3, ,2,3,3,3,3,3,2,2,2,3,8,8,1, ,14, ,2,1,1,2, , , , , , , , , , , , , ,8,8,8,1,2,1,2,2, , , , , , , , ,2,1,2, , ,1, , , , , ,2,49,1,2,1, ,2,1, ,7,2,3,2,1,3,3,2,1, ,2,3, ,7, , , , , , ,2,4,4,1,1,2,2,1,1,2,4,1,2,1,2,1,1, ,6,1,2,3,1.625,1
15,1,1,67,14860,9001,100705,e,S,2,9,203,203438,2,1,2,1,2,2,1,2,1,1,1,1,1,1,5, , ,1, ,4,2,1,3, ,3,3,3,3,3,3,2,2,1,8,8,8,1, ,20, ,2,1,1,1, , , , , , , , , , , , , ,2,2,1,1,1,1,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,41,1,1,1,1, ,1, ,5,2,3,2,1,3,3,2,1, ,2,2,1,8, , , , , , ,2,4,3,1,1,2,5,1,3,1,4,1,2,1,2,1,1,3,5,0,0,3,3.0625,1
16,1,1,7,35300,9009,100105,e,S,2,9,203,203468,2,2,1,1,4,4,2,3,1,1,2,2, , ,4, ,1,6,1,6,2,3,3, ,3,3,3,3,3,3,2,2,2,2,2,2,1, ,15, ,2,2, , , , , , , , , , , , , , , ,2,1,1,2,1,2,2,2, , , , , , , , ,3, ,2, , ,3, , , , , ,2,41,1,2,0, ,0, , ,3,2,3,2,1,2,3,2,2, , ,9,9,6, , , , , , ,2,4,2,1,1,2,6,0,3,6,3,2,2,2,0,8,0, ,4,1,1,3,3.02083333333333,1
17,1,1,53,14860,9001,93005,e,S,2,9,203,203629,2,2,3,1,2,1,3,2,1,1,1,1,2,1,5, ,1,4, ,1,1,1,3, ,3,1,2,3,3,3,1,3,2,3,4,3,6,2, ,2,4,1,2,2,10,12, , , , , , , , ,2,1,2,1,1,1,2,1,2,2,1, , , , , , , , , , , , , , , , , , , ,1,20,2, , , , , , ,5,2,1,1,1,2,2,4,2, , ,2,1,4,"HIGHFIVE.COM MSN.COM, MYSPACE.COM", , , , , ,1,4,3,3,1,1,5,1,3,1,3,1, ,99, ,99,9,2,5,1,0,1,4,1
18,1,1,42,14860,9001,92805,e,U,1,9,203,203743,2,2,1,1,2,4,9,4,1,1,1,2, , ,3, ,1,3,2, , ,2,3,3,3,3,9,3,3,3,2,1,2,1,8,1,4,2, ,2,4,1,2,2, , , , , , , , , , , , , ,2,2,2,2,1,2,2,2, , , , , , , , , , , , , , , , , , , ,2,37,1,3,0, ,0, , ,2,2,2,1,1,2,4,2,1, ,1,3, ,2, , , , , , ,2,4,1,3,1,2,3,1,1,3,2,1,2,2,0,8,0, ,2,1,2,2,4.35,1
19,1,1,24,35300,9009,91505,e,S,2,9,203,203757,2,2,1,1,2,2,9,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,54,2, , , , , , ,3,5,3,1,9,2,2,3,2, , , , ,1, , , , , , ,3,4,2,3,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.9375,1
20,1,1,26,35300,9009,100805,e,S,2,9,203,203879,9,9,2,1,1,1,2,1,1,1,1,2, , ,2, ,1,6,1,2,2,2,3, ,3,3,3,9,3,3,2,8,8,2,8,8,1, ,45, ,2,2, , , , , , , , , , , , , , , ,2,2,8,2,1,2,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,65,2, , , , , , ,5,7,3,2,1,3,4,2,2, , ,1,2,5, , , , , , ,4,4,3,1,1,2,6,1,3,2,1,1, ,99, ,99,9, ,2,1,1,3,1.3125,1
21,1,1,56,14860,9001,92505,e,S,2,9,203,203966,1,1,2,1,2,2,4,2,1,1,1,1,1,2,7, , ,2,2, , ,1,3,3,3,3,3,2,3,3,2,2,8,3,8,8,1, ,18, ,2,2, , , , , , , , , , , , , , , ,2,2,2,2,1,2,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,43,1,4,0, ,2, , ,7,4,3,2,1,1,4,2,1, ,2,3, ,8, , , , , , ,2,4,4,1,1,2,7,1,1,2,4,1,2,1,0,8,1,1,6,0,2,3,2,1
22,1,3,123,13820,1073,92705,c,U,1,1,205,205323,2,2,1,1,1,4,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,86,2, , , , , , ,5,3,3,2,1,3,4,2,1, ,1, , ,6, , , , , , ,4,3,3,1,0,99,2,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.08333333333333,1
