psraid,comp,cregion,rep,msa,fips,int_date,tz,usr,usr1,state,area,areaexch,q1,q2,q3a,q3b,q3c,q3d,q3e,q3f,q5,q6a,q6b,q7,q8,q9,q12,q12.1,q13,q14,q15,q16,datenew,activ01,activ17,activ33,activ54,activ58,activ71,activ73,activ82,activ87,q17,q19a,q19b,q19c,q19d,q19e,mar,mar2,mar3,mar4,margroup,date01a,date01b,date01c,date02_1,date02_2,date02_3,date02_4,date02_5,date02_6,date02_7,date02_8,date02_9,date02_0,date03,date04a,date04b,date05a,date05b,date05c,date05d,date05e,date05f,date06a,date06b,date06c,date06d,date06e,date06f,date06g,date06h,date07,date08,date09,date10,date11,date12,date12cd,date13,date13cd,date14,date15,date16,date17,sex,age,par,d2b,d2c,d2d,d2e,d2f,d2g,educ,empl,stud,hisp,race,polaf,polid,d6,d7,d8,d9,modem,bbw,inc,date02os,date12os,date13os,date14os,religos,modemos,recage2,density3,receduc,racethn,i_user,onldat,dow,e_user,homework,often,usertype,recq6ab,d2brec,child11,d2crec,child17,childol,online,long,olhome,olwork,student,denwt,file
382,1,2,40,19820,26163,92305,e,U,1,26,313,313372,2,2,3,2,9,4,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,60,2, , , , , , ,4,3,3,2,2,2,3,4,1, ,2, , ,4, , , , , , ,3,5,2,2,0,99,5,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.79166666666667,1
383,1,2,60,19820,26163,92305,e,U,1,26,313,313533,2,2,1,1,3,3,1,1,1,1,1,1,2,1,2, ,1,3, ,1, ,1,3,3,2,3,3,3,3,3,1,2,2,2,8,8,3,2, ,2,4,2, , , , , , , , , , , , , , , ,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , , , , , ,2,51,2, , , , , , ,5,1,3,2,2,2,4,1,1, ,1,3,9,3, , , , , , ,3,5,3,2,1,2,5,1,3,1,1,1, ,99, ,99,9,2,2,1,0,3,1.95833333333333,1
384,1,2,162,19820,26163,100605,e,U,1,26,313,313582,1,2,1,3,3,3,3,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,18,2, , , , , , ,2,2,3,2,3,2,3,4,6, , , , ,9, , , , , , ,1,5,1,4,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,4.35,1
385,1,2,32,19820,26163,92105,e,U,1,26,313,313865,2,1,1,1,3,2,9,1,1,1,2,2, , ,2, ,1,5,2, , ,3,3,3,3,3,9,3,2,3,1,8,8,8,8,8,5,2, ,2,4,2, , , , , , , , , , , , , , , ,8,1,1,9,1,2,2,2, , , , , , , , , , , , , , , , , , , ,2,48,2, , , , , , ,3,4,3,2,2,2,4,2,1, ,1,2, ,3, , , , , , ,2,5,2,2,1,2,3,0,1,5,1,2, ,99, ,99,9, ,2,1,2,3,2.41666666666667,1
386,1,2,161,41180,29189,101105,c,S,2,29,314,314426,2,2,1,1,3,3,9,1,1,1,2,1,2,1,2, ,1,6, ,3,2,3,3, ,3,3,3,3,3,3,2,4,4,8,8,8,3,1,3, ,1,1,2,2, , , , , , , , , , , , , ,8,1,1,2,1,2,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,2,42,1,1,0,2, , , ,3,1,3,2,6,2,4,2,2, , ,2,9,3, , , , , , ,2,5,2,4,1,2,2,0,3,3,1,2,2,2,0,8,0,2,2,1,0,3,3.97916666666667,1
387,1,2,42,41180,29510,92605,c,U,1,29,314,314481,2,9,3,1,3,2,3,2,1,1,1,1,2,1,7, ,1,2, ,2, ,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,6,2, ,1,3,2, , , , , , , , , , , , , , , ,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,8,1,2,1,1,25,2, , , , , , ,7,4,1,2,1,3,4,4,2, , ,1,1,1, , , ,DON''T THINK THEY ARE USEFUL, , ,1,5,4,1,1,2,1,1,3,2,4,1, ,99, ,99,9,2,6,1,0,1,4.25,1
388,1,2,5,41180,29189,91505,c,S,2,29,314,314579,1,3,2,1,4,4,4,3,1,1,1,1,1,1,7, , ,2, ,2, ,1,3,3,1,3,3,3,3,3,2,8,1,8,8,8,1, ,20, ,2,2, , , , , , , , , , , , , , , ,2,8,8,2,1,2,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,1,50,1,0,2, , , ,2,6,1,3,2,3,1,2,2,1, ,1,2,1,8, , , , , , ,3,5,4,4,1,2,4,1,3,2,4,1,0,8,2,1,1,3,6,0,0,3,3.83333333333333,1
389,1,2,35,41180,29510,91705,c,U,1,29,314,314652,2,1,1,1,2,4,1,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,26,2, , , , , , ,3,2,3,2,2,3,3,2,1, ,1, , ,4, , , , , , ,1,5,2,2,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.70833333333333,1
390,1,2,2,41180,29189,92505,c,S,2,29,314,314741,2,3,1,4,4,4,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,64, ,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,82,2, , , , , , ,3,3,3,2,1,3,3,1,2, , , , ,3, , , , , , ,4,5,2,1,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.22916666666667,1
391,1,2,44,41180,29510,92505,c,U,1,29,314,314832,2,2,1,1,4,4,1,2,1,1,1,2, , ,1, ,1,2,2, , ,3,3,3,3,3,3,3,3,3,2,3,3,3,8,8,1, ,12, ,2,1,1,2, , , , , , , , , , , , , ,8,1,8,8,1,8,2,2, , , , , , , , ,3, ,2, , ,4,98, , , , ,1,45,1,0,3, , , ,3,2,1,3,2,1,2,4,3,1, ,1,1, ,5, , ,<, , , ,2,5,1,1,1,2,7,0,1,2,1,1,0,8,2,1,1, ,1,1,2,3,4.35,1
392,1,2,185,41180,29189,101305,c,S,2,29,314,314894,2,1,2,1,1,4,4,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,0,2,65,2, , , , , , ,6,3,3,2,1,1,1,2,1, ,2, , ,4, , , , , , ,4,5,4,1,0,99,4,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.6875,1
393,1,1,129,0,36011,92905,e,R,3,36,315,315252,2,2,2,1,2,2,2,1,1,1,1,1,1,1,3, , ,3, ,1,2,1,3, ,2,3,2,2,3,2,2,2,2,2,8,8,1, ,12, ,2,2, , , , , , , , , , , , , , , ,1,2,2,1,2,1,2,2, , , , , , , , ,2,1,2, , ,1, , , , , ,1,48,2, , , , , , ,7,1,3,2,1,2,3,2,2, , ,3,1,6, , , , , , ,2,2,4,1,1,2,4,1,3,1,2,1, ,99, ,99,9,3,2,0,0,3,1.375,1
394,1,1,152,46540,36065,100305,e,U,1,36,315,315339,2,2,4,2,1,1,2,1,1,1,2,2, , ,4, ,1,2,2, ,2,3,3, ,3,3,3,3,3,3,2,4,4,2,2,2,1, ,8, ,2,2, , , , , , , , , , , , , , , ,2,1,1,1,2,2,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,1,36,2, , , , , , ,3,1,2,2,1,3,4,5,97, , ,3, ,4, , , , , , ,2,2,2,1,1,2,1,0,1,2,4,2, ,99, ,99,9, ,4,1,2,2,2.58333333333333,1
395,1,1,182,45060,36067,101105,e,S,2,36,315,315492,2,2,2,1,9,9,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,2,4,1,9,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,50,2, , , , , , ,6,5,3,2,1,3,3,4,2, , , , ,9, , , , , , ,3,3,4,1,0,99,2,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.25,1
396,1,1,81,0,36099,91905,e,R,3,36,315,315568,1,1,1,2,3,1,1,1,1,1,1,2, , ,7, ,1,6,2, , ,2,3,3,3,3,3,3,2,3,2,8,8,8,2,8,5,2, ,2,4,2, , , , , , , , , , , , , , , ,2,2,8,2,1,2,2,2, , , , , , , , , , , , , , , , , , , ,2,79,2, , , , , , ,3,3,3,2,1,1,4,2,1, ,1,3, ,3, , , , , , ,4,2,2,1,1,2,1,1,1,6,3,1, ,99, ,99,9, ,6,1,2,3,1.41666666666667,1
397,1,1,31,45060,36075,91505,e,S,2,36,315,315598,1,2,3,1,3,2,4,3,1,1,1,2, , ,10, ,1,5,2, , ,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1, ,1, ,1,2, , , , , , , , , , , , , , , ,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,3, , , , , ,1,24,1,1,0,2, , , ,5,1,2,2,3,3,3,5,3, , ,1, ,3, , , , , , ,1,2,3,4,1,2,4,1,1,5,3,1,2,2,0,8,0, ,6,1,2,2,2.54166666666667,1
398,1,1,174,45060,36067,100905,e,S,2,36,315,315622,2,2,4,3,1,4,2,1,1,1,1,2, , ,5, ,1,4,2, ,2,2,3, ,3,3,3,2,3,3,1,2,2,1,8,8,1, ,24, ,2,1,1,1, , , , , , , , , , , , , ,2,1,1,1,1,2,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,2,46,2, , , , , , ,3,7,3,2,1,4,9,5,1, ,2,9, ,8, , , , , , ,2,3,2,1,1,2,7,1,1,4,3,1, ,99, ,99,9, ,5,1,2,3,1.66666666666667,1
399,1,1,175,45060,36067,101005,e,S,2,36,315,315652,1,3,1,1,2,2,4,1,1,1,1,1,1,2,7, , ,3,1,4,2,1,3, ,3,3,3,3,3,3,2,8,2,8,8,8,1, ,32, ,2,2, , , , , , , , , , , , , , , ,8,8,8,9,1,8,2,2, , , , , , , , ,9, ,2, , ,3, , , , , ,1,55,2, , , , , , ,6,1,3,2,1,1,3,2,1, ,2,2,9,7, , , , , , ,3,3,4,1,1,2,1,1,3,3,3,1, ,99, ,99,9,1,6,0,1,3,1.27083333333333,1
400,1,1,169,45060,36067,100805,e,S,2,36,315,315656,2,9,3,3,3,4,9,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,73,2, , , , , , ,5,3,3,2,1,1,4,4,1, ,1, , ,3, , , , , , ,4,3,3,1,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.27083333333333,1
401,1,1,157,46540,36065,100505,e,U,1,36,315,315732,1,1,2,2,2,4,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,36, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,76,2, , , , , , ,5,3,3,2,1,9,4,2,2, , , , ,6, , , , , , ,4,2,3,1,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.27083333333333,1
402,1,1,159,46540,36065,100505,e,U,1,36,315,315733,2,2,1,1,1,4,1,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,70,2, , , , , , ,6,3,3,2,1,2,5,2,2, , , , ,4, , , , , , ,4,2,4,1,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.08333333333333,1
403,1,1,49,0,36089,92305,e,R,3,36,315,315769,9,1,1,1,3,4,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,99,2, , , , , , ,3,3,3,2,1,2,3,2,2, , , , ,9, , , , , , ,9,1,2,1,0,99,5,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.27083333333333,1
404,1,1,133,0,36011,100105,e,R,3,36,315,315834,2,1,2,1,1,2,3,2,1,1,2,1,1,2,9, , ,1,2, ,2,1,3, ,2,3,3,2,3,3,2,1,8,3,8,8,1, ,17, ,2,2, , , , , , , , , , , , , , , ,2,2,8,2,1,2,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,43,1,1,2,1, , ,2,6,4,3,2,1,1,2,3,2, , ,3, ,6, , , , , , ,2,2,4,1,1,2,6,1,1,1,4,2,2,1,2,1,1,1,6,0,2,3,1.64583333333333,1
405,1,1,79,46540,36043,91905,e,S,2,36,315,315845,2,2,1,1,4,1,4,2,1,1,1,1,1,2,10, , ,4,1,2, ,2,3,3,3,3,3,3,3,3,2,3,3,3,8,8,1, ,33, ,2,2, , , , , , , , , , , , , , , ,8,2,8,8,8,8,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,53,2, , , , , , ,7,1,3,2,1,2,3,4,1, ,2,3,1,9, , , , , , ,3,1,4,1,1,2,1,1,3,2,3,1, ,99, ,99,9,1,6,0,1,3,1,1
406,1,1,147,46540,36065,100305,e,S,2,36,315,315853,1,1,2,4,2,3,2,1,1,1,1,2, , ,7, ,1,3,1,1,2,2,3, ,2,3,3,2,3,3,1,3,8,1,8,8,1, ,21, ,2,2, , , , , , , , , , , , , , , ,8,2,1,2,2,8,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,1,58,1,0,1, , ,1, ,5,1,3,2,1,3,3,4,1, ,2,1,1,5, , , , , , ,3,2,3,1,1,2,1,1,3,1,3,1,0,8,2,1,1, ,6,1,1,3,1.35416666666667,1
407,1,1,19,40380,36117,92705,e,S,2,36,315,315986,9,2,3,1,3,2,1,2,1,1,1,1,1,2,6, , ,1,2, , ,1,3,3,2,3,3,1,2,3,1,1,1,8,8,8,1, ,39, ,2,1,1,1, , , , , , , , , , , , , ,1,2,8,1,1,1,2,2, , , , , , , , ,3, ,2, , ,4,98, , , , ,1,65,2, , , , , , ,6,3,3,2,1,1,4,5,2, , ,1, ,4, , ,GIVING RIDES TO PEOPLE IN ANOTHER PART OF THE COUNTRY, , , ,4,2,4,1,1,2,2,1,1,1,4,1, ,99, ,99,9,1,6,0,2,3,1.08333333333333,1
408,1,2,4,48620,20173,92005,c,U,1,20,316,316683,2,1,1,1,1,4,2,1,1,1,1,1,1,1,4, , ,1, ,1, ,1,3,3,3,3,1,3,1,3,2,2,2,3,3,4,3,1,0, ,1,1,1,2, , , , , , , , , , , , , ,1,2,1,1,8,1,2,1,2,2,1,1,1,1,1,1,2,1,2, , ,2, , , , , ,1,43,1,1,0,2, , , ,3,1,2,2,1,3,2,2,1, ,1,2,1,7, , , , , , ,2,3,2,1,1,2,2,1,3,1,4,1,2,2,0,8,0,3,4,0,0,2,2.625,1
409,1,2,6,48620,20173,91505,c,U,1,20,316,316686,1,2,2,2,3,1,4,2,1,1,1,1,1,2,10, , ,3,1,4, ,2,3,3,3,3,3,3,2,3,2,2,2,8,8,8,2, ,2, ,1,2, , , , , , , , , , , , , , , ,2,2,8,2,1,2,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,2,24,1,1,0,2, , , ,6,1,3,2,1,3,3,5,97, , ,3,1,5, , , , , , ,1,3,4,1,1,2,4,1,3,3,3,1,2,2,0,8,0,1,6,0,1,3,4.35,1
410,1,2,7,48620,20173,92105,c,S,2,20,316,316744,1,1,1,2,1,4,3,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,54, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,76,2, , , , , , ,4,3,3,2,1,1,5,2,1, ,2, , ,9, , , , , , ,4,3,2,1,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.20833333333333,1
411,1,2,57,48620,20015,91805,c,S,2,20,316,316775,2,1,1,1,2,3,3,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,80,2, , , , , , ,3,3,3,2,1,2,3,2,1, ,9, , ,2, , , , , , ,4,1,2,1,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.10416666666667,1
412,1,2,57,26900,18097,92505,i,U,1,18,317,317246,2,1,2,1,4,1,4,1,1,1,1,1,1,2,8, , ,3,1,1, ,1,3,3,2,3,3,3,2,3,2,3,3,8,8,8,1, ,0, ,1,1,1,1, , , , , , , , , , , , , ,1,2,8,1,2,1,2,2,2,2,2,2,2,2,2, ,2,1,2, , ,1, , , , , ,2,26,2, , , , , , ,6,1,3,2,1,2,1,5,1, ,2,1,1,6, , , , , , ,1,5,4,1,1,2,7,1,3,1,3,1, ,99, ,99,9,1,6,0,1,3,2.9375,1
413,1,2,51,26900,18097,91805,i,U,1,18,317,317259,1,1,4,1,2,1,3,1,1,1,1,1,1,2,10, , ,1,1,1, ,1,3,3,3,3,3,3,2,3,2,1,1,1,4,3,1, ,30, ,2,2, , , , , , , , , , , , , , , ,1,2,1,1,2,2,2,2, , , , , , , , ,2,1,2, , ,2, , , , , ,1,55,2, , , , , , ,7,1,3,2,1,1,2,5,1, ,2,3,1,8, , , , , , ,3,5,4,1,1,2,7,1,3,1,4,1, ,99, ,99,9,1,6,0,1,3,1.60416666666667,1
414,1,2,88,26900,18097,100305,i,U,1,18,317,317293,1,2,1,1,4,4,1,1,1,1,1,2, , ,6, ,1,3,1,1,2,2,3, ,3,3,3,3,3,3,1,8,8,8,8,8,1, ,2, ,1,2, , , , , , , , , , , , , , , ,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,9, , , , , ,2,99,2, , , , , , ,6,1,3,9,9,2,2,2,1, ,1,1,1,9, , , , , , ,9,5,4,9,1,2,1,1,3,1,3,1, ,99, ,99,9, ,6,1,1,3,1.9375,1
415,1,2,91,26900,18097,92005,i,U,1,18,317,317299,1,2,2,1,3,2,2,2,2,1,1,2, , ,2, ,2, ,2, , ,2,2,2,2,3,3,3,3,3,2,2,2,1,2,2,6,2, ,2,4,2, , ,3, , , , , , , , , ,1,2,2,1,2,1,1,1,2,2,1, , , , , , , , , , , , , , , , , , , ,2,42,2, , , , , , ,2,1,3,2,2,2,3,4,1, ,1, , ,2, , , , , , ,2,5,1,2,1,1,2,1,0,9,1,1, ,99, ,99,9, ,2,2,2,3,4.35,1
416,1,2,96,26900,18097,92305,i,U,1,18,317,317334,2,2,1,1,4,4,9,2,2,1,2,1,2,2,2, ,2, ,2, , ,2,1,3,3,3,3,3,3,3,2,2,4,3,1,3,6,1,2, ,1,2, , , , , , , , , , , , , , , ,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2, ,3, ,2, , ,4,98, , , , ,2,29,1,1,0,2, , , ,2,4,2,2,2,3,3,5,1, ,1, , ,2, , ,"he was training someone on his route, mailperson. person he was training", , , ,1,5,1,2,1,2,5,1,0,9,1,2,2,2,0,8,0,4,2,2,2,2,4.1875,1
417,1,2,42,26900,18097,92305,i,U,1,18,317,317354,2,2,1,2,4,4,2,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,48,2, , , , , , ,2,4,3,2,2,2,1,3,1, ,1, , ,1, , , , , , ,2,5,1,2,0,99,5,0,9,98,98,9, ,99, ,99,9, , , , ,3,3.95833333333333,1
418,1,2,109,26900,18057,100405,i,S,2,18,317,317574,1,2,2,1,1,2,1,2,1,1,1,2, , ,10, ,1,4,1,3,1,2,3, ,2,3,3,3,2,2,2,3,8,1,3,1,6,1,1, ,1,2, , ,1,10, , , , , , , , ,1,1,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2, ,3, ,2, , ,2, , , , , ,1,25,2, , , , , , ,3,1,3,2,1,3,1,5,97, , ,5,1,8,GREAT EXPEVTATIONS GREAT EXPECTATIONS, , , , , ,1,3,2,1,1,1,2,1,3,3,3,1, ,99, ,99,9, ,6,1,1,3,2,1
419,1,2,53,26900,18097,91805,i,U,1,18,317,317632,1,2,1,2,3,3,3,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,47,2, , , , , , ,2,4,3,2,2,1,9,2,1, ,9, , ,1, , , , , , ,2,5,1,2,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,4.35,1
420,1,2,63,26900,18097,91905,i,U,1,18,317,317782,2,1,2,1,1,2,1,1,1,1,1,1,1,1,12, , ,2, ,2, ,1,3,3,3,3,3,3,3,3,2,8,1,3,8,8,1, ,18, ,2,1,1,1, , , , , , , , , , , , , ,2,1,1,2,1,2,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,1,58,2, , , , , , ,7,1,3,2,1,2,2,5,2, , ,2,1,7, , , , , , ,3,5,4,1,1,2,1,1,3,2,4,1, ,99, ,99,9,3,6,0,0,3,2.4375,1
421,1,2,68,26900,18097,91905,i,U,1,18,317,317787,2,2,1,2,2,4,1,2,1,1,1,1,1,2,5, , ,4,1,1, ,2,3,3,3,3,3,3,3,3,2,2,8,2,8,8,1, ,0, ,1,2, , , , , , , , , , , , , , , ,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,2,99,2, , , , , , ,3,1,3,2,1,3,1,2,1, ,1,1,1,6, , , , , , ,9,5,2,1,1,2,1,1,3,1,3,1, ,99, ,99,9,1,5,0,1,3,1.75,1
422,1,2,69,26900,18097,91905,i,U,1,18,317,317788,1,1,1,1,1,1,4,2,1,1,1,2, , ,15, ,1,2,1,1, ,2,3,3,2,3,3,2,2,2,2,3,2,3,8,8,1, ,9, ,2,1,1,1, , , , , , , , , , , , , ,1,2,1,1,2,1,2,2, , , , , , , , ,2,1,2, , ,2, , , , , ,2,53,2, , , , , , ,6,1,3,2,1,3,4,4,2, , ,1,1,8, , , , , , ,3,5,4,1,1,2,1,1,3,1,4,1, ,99, ,99,9, ,6,1,1,3,2.02083333333333,1
423,1,2,121,26900,18109,92505,i,S,2,18,317,317831,2,2,1,1,1,4,1,1,1,2,1,2, , ,4, ,2, ,2, , ,2,3,3,3,3,3,3,3,3,2,8,8,8,8,3,5,1,15, ,2,2, , , , , , , , , , , , , , , ,2,1,1,8,1,2,2,2, , , , , , , , ,3, ,2, , ,2, , , , , ,2,63,2, , , , , , ,5,3,3,2,1,3,5,5,1, ,1, , ,3, , , , , , ,3,2,3,1,1,2,7,1,0,9,3,3, ,99, ,99,9, ,4,2,2,3,1.20833333333333,1
424,1,2,136,26900,18063,100505,i,S,2,18,317,317837,1,1,2,2,1,2,2,2,1,1,2,2, , ,2, ,1,2,2, ,2,3,3, ,3,3,3,3,3,3,4,4,4,4,4,4,6,2, ,2,4,2, , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2, , , , , , , , , , , , , , , , , , , ,1,18,2, , , , , , ,3,4,1,2,1,4,9,5,97, , ,3, ,3, , , , , , ,1,2,2,1,1,2,3,0,1,2,2,2, ,99, ,99,9, ,2,1,2,1,2.20833333333333,1
425,1,2,137,26900,18063,101105,i,S,2,18,317,317839,9,3,1,2,2,3,4,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,80,2, , , , , , ,5,3,3,2,1,3,3,2,1, ,2, , ,2, , , , , , ,4,2,3,1,0,99,2,0,9,98,98,9, ,99, ,99,9, , , , ,3,1,1
426,1,2,52,26900,18097,91805,i,U,1,18,317,317856,1,1,1,1,1,4,9,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,79,2, , , , , , ,3,3,3,2,1,1,2,2,1, ,1, , ,2, , , , , , ,4,5,2,1,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,2.22916666666667,1
427,1,3,102,0,22061,92705,c,R,3,22,318,318255,1,1,1,2,1,4,2,1,1,1,1,1,1,2,10, , ,1,2, , ,1,3,3,3,3,1,3,3,3,1,2,2,2,8,8,3,9, ,2,4,1,1,2, , , , , , , , , , , , , ,2,2,2,1,2,2,2,2, , , , , , , , , , , , , , , , , , , ,2,70,2, , , , , , ,7,3,3,2,1,1,4,2,1, ,9,3, ,9, , , , , , ,4,1,4,1,1,2,2,1,1,1,4,1, ,99, ,99,9,1,6,0,2,3,1,1
428,1,3,42,0,22049,92105,c,R,3,22,318,318259,2,2,2,2,4,2,1,1,1,1,1,1,1,1,12, , ,1, ,1, ,1,3,3,3,3,1,2,3,3,1,1,1,1,4,4,1, ,24, ,2,2, , , , , , , , , , , , , , , ,2,1,1,8,1,2,2,2, , , , , , , , ,3, ,2, , ,1, , , , , ,1,54,1,0,1, , ,1, ,6,1,3,2,1,2,3,2,1, ,1,2,1,8, , , , , , ,3,1,4,1,1,2,3,1,3,1,4,1,0,8,2,1,1,3,6,0,0,3,1.20833333333333,1
429,1,3,110,0,22067,92305,c,R,3,22,318,318281,1,2,1,2,1,4,1,2,1,1,1,1,1,2,7, , ,1,2, , ,1,3,3,3,3,3,3,3,3,2,8,8,4,4,8,5,2, ,2,4,2, , , , , , , , , , , , , , , ,2,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , , , , ,2,69,2, , , , , , ,4,3,3,2,1,2,2,2,1, ,1,3, ,2, , , , , , ,4,1,2,1,1,2,5,1,1,1,4,1, ,99, ,99,9,1,6,0,2,3,1.22916666666667,1
430,1,3,39,0,22119,91705,c,R,3,22,318,318371,1,9,2,1,2,4,1,9,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,54,2, , , , , , ,2,1,3,2,1,1,1,2,1, ,1, , ,9, , , , , , ,3,1,1,1,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.29166666666667,1
431,1,3,33,0,22041,91705,c,R,3,22,318,318435,9,1,1,4,4,4,4,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,83,2, , , , , , ,3,3,3,2,1,1,5,5,1, ,1, , ,1, , , , , , ,4,1,2,1,0,99,6,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.04166666666667,1
432,1,3,173,43340,22017,100905,c,U,1,22,318,318631,2,1,2,1,1,4,1,2,1,1,1,2, , ,5, ,1,6,2, ,1,2,3, ,3,9,3,3,3,3,1,2,2,8,2,8,6,9, ,2,4,2, , ,99, , , , , , , , , ,9,2,2,8,8,8,8,1,8,2,2, , , , , , , , , , , , , , , , , , , ,1,41,2, , , , , , ,3,1,3,2,2,2,3,3,1, ,2,1, ,3, , , , , , ,2,2,2,2,1,1,7,1,1,6,3,1, ,99, ,99,9, ,5,1,2,3,2.0625,1
