psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,home3nw,q2,modem4b,q3,q4,q5,q6,q7,q9,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,loc2a,loc2b,loc3m1,loc3m2,loc3m3,loc3m4,loc3m5,loc3m6,loc3m7,loc3m8,loc3m9,loc3m10,loc3m11,loc3m12,loc3m13,mar,mar2,mar3,mar4,meet,rel1,rel2,rel3,intdatea,intdateb,intdatec,intdated,intdatee,snsdate1a,snsdate1b,snsdate1c,snsdate1d,snsdate1e,snsdate2a,snsdate2b,snsdate2c,celldatea,celldateb,breaka,breakb,date1a,date1bm1,date1bm2,date1bm3,date1bm4,date1bm5,date1bm6,date1bm7,date1bm8,date1bm9,date1bm10,date1bm11,date1bm12,date1bm13,date1bm14,date1bm15,date1bm16,date1bm17,date2a,date2bm1,date2bm2,date2bm3,date2bm4,date2bm5,date2bm6,date2bm7,date2bm8,date2bm9,date2bm10,date2bm11,date2bm12,date2bm13,date2bm14,date2bm15,date2bm16,date3a,date3b,date4a,date4b,date4c,date5a,date5b,date5c,date5d,date5e,date5f,date6,date7,date8a,date8b,date8c,date8d,date8e,date9a,date9b,date9c,date9d,rel4a,rel4b,rel4c,rel5,rel6,rel7,rel8a,rel8b,rel8c,rel8d,rel8e,rel8f,q13a,q13b,q13c,age,par,qd2b1,qd2b2,qd2c,hh1,educ2,emplnw,hisp,birth_hisp,race,inc,lgbt,ql1a,ql2hh,qc1,qc2hh,q2os,modem4bos,q6os,smart2os,loc3os,rel3vb,date1bos,date2bos,raceos,weight,standwt
100606,1,1,26,26057,2,R,1,2,1,3, , ,2,2, , , ,1,1,2,3,2,1, , , , , , , , , ,1,1,1,1,1,2,2,1,2,2,1,2,2,2, , , , , , , , , , , , , ,2, ,2, , ,2, , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,2, , , , ,3, , ,2, ,2,2,2,2,2,2,62,1,0,0,2,5,6,1,2, ,1,7,1, ,1, , , , , , , , , , , ,1.83870967741935,.58062263549863
100607,1,1,36,36081,1,U,2,2,2,3, , ,1,1,1, ,3, , , , , , ,1,1,1,2,2,2,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1, , , , , , , , , , , , , ,1, ,15, , ,2, , ,1,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,8, , , , , , , , , , , , , , , , ,2,8,8,8,1,2,2,1,3, ,2,1,2,2,1,2,2,2,2,41,1,1,2,0,2,4,2,2, ,1,98,1, ,2, , , , , , , , , , , ,6.64516129032258,2.0983905774161
100611,1,1,1,1101,3,U,1,2,2,2, , ,1,2,1, ,2, , , , , , ,2,1,2,2,2,1,2, ,2,1,1,1,2,12,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,43, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,2,2,2,2,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,66,2, , , ,3,6,2,2, ,1,99,1, ,2, , , , , , , , , , , ,1.48387096774194,.468572653209421
100613,1,1,47,47091,3,R,2,1,2,3,1,1, ,2,1, ,2, , , , , , ,1,1,2,2,2,2,2,2, ,1,2,1,2,9,2,2,2,2,2,1, ,2,1, , , , , , , , , , , , , ,1, ,34, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,54,2, , , ,2,4,1,2, ,1,4,1, ,2, , , , , , , , , , , ,2.51612903225806,.794536238050757
100627,1,1,48,48423,3,U,1,2,2,2, , ,1,1,1, ,4, , , , , , ,2,2,2,2,2,2,2, , ,1,1,1,1,1,1,2,1,2,1,1,2,2,2, , , , , , , , , , , , , ,1, ,16, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,1, ,2,1,3, ,2,2,2,2,2,2,2,2,2,51,1,0,1,1,2,6,1,2, ,1,9,1, ,2, , , , , , , , , , , ,2.48387096774194,.784349876024466
100634,1,1,22,22067,3,R,2,1,2,5,2,1, ,2,2,1, , , , , , , ,2,2,2,2,2,2,2, , ,1,2,1,2,14,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,2, ,5, , ,2, , ,2,2,2,2,2, , , , , , , , ,2, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,2, ,2,2,3, ,2,2,2, ,2,2,2,2,2,48,2, , , ,2,3,4,2, ,9,1,1, ,2, , , , , , , , , , , ,2.54838709677419,.804722600077049
100638,1,1,37,37063,3,U,2,1,1,3,1,1, ,1,1, ,3, , , , , , ,1,1,1,2,2,1,1,2, ,1,1,1,1,3,1,1,1,2,1,1,3,2,1, , , , , , , , , , , , , ,1, ,14, , ,2, , ,2,2, , , ,2,2, , , ,2,1,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,35,1,1,1,2,2,8,1,2, ,2,7,1, ,1, , , , , , , , , , , ,2.93548387096774,.92695894439255
100639,1,1,21,21217,3,R,2,1,2,5,2,2, ,2, , , ,2,2,2,2,2,2, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,5,2, ,1,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,8,9,9, , , , , , , , , , , , ,2,2,2,65,2, , , ,1,5,2,2, ,1,2,1, ,1, , , , , , , , , , , ,1.12903225806452,.356522670920212
100640,1,1,20,20087,2,S,2,2,2,1, , ,1,2,1, ,2, , , , , , ,1,1,2,2,2,1,1, ,1,1,2,1,2,9,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,3,2, ,2, , , , ,1,1, , , ,1,2, , , ,1,2,2, , , , ,1,7,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,1,2,2,1,2,3,3,3,3,3,2,1,2,2, , , , , , , , , , , , ,1,1,2,58,2, , , ,1,3,1,2, ,1,4,1, ,2, , , , , , , , , , , ,1.32258064516129,.417640843077962
100646,1,1,41,41033,4,R,1,1,2,3,2,2, ,2, , , ,2,2,2,3,2,1, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,1,1,2, , , , , , , , , , , , ,2,2,2,80,2, , , ,5,6,3,2, ,1,99,1, ,2, , , , , , , , , , , ,1.61290322580645,.509318101314588
100648,1,1,48,48423,3,S,2,1,1,4,2,2, ,2, , , ,2,1,1,1,1,1, , , , , , , , , ,1,2,1,1,3,2,2,2,2,2,1, ,2,1, , , , , , , , , , , , , ,1, ,8, , ,2, , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , ,3, , ,2, ,2,2,2,2,2,2,59,2, , , ,2,5,3,2, ,1,9,1, ,3, , , , , , , , , , , ,2.19354838709677,.69267261778784
100649,1,1,53,53033,4,U,2,1,2,3,1,1, ,1,1, ,4, , , , , , ,2,1,2,2,2,1,1,2, ,1,1,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,13, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,1,2,1,2,1,2, ,2,2,2,2,2,36,1,2,2,0,2,6,2,2, ,1,98,1, ,3, , , , , , , , , , , ,2.51612903225806,.794536238050757
100662,1,1,36,36119,1,U,1,1,2,2,1,1, ,1,1, ,2, , , , , , ,2,1,2,2,2,1,1,8, ,1,1,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,1,7, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,2,1,2,2,2,2,2,1,3, ,2,2,2, ,2,2,2,2,2,80,2, , , ,1,8,3,2, ,9,9,9, ,3, , , , , , , , , , , ,1.2258064516129,.387081756999087
100663,1,1,24,24027,3,S,2,1,2,3,1,1, ,2,2,97, , , , , , , ,2,2,2,2,2,2,2, , ,1,8,1,2,98,2,2,1,2,2,2,1,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,8, , , , , , , , , , , , ,2,2,2,90,2, , , ,1,8,3,2, ,1,99,1, ,3, , ,LACK OF FEELING SECURE AND KNOWING HOW TO USE IT., , , , , , , , ,1,.315777222815045
100670,1,1,12,12101,3,S,1,1,2,3,1,1, ,1,1, ,5, , , , , , ,1,1,1,2,2,1,1,2, ,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,6, , ,2, , ,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,2,1,2,2,1,2,2,2, , , , , , ,1,2,2,2,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,38,2, , , ,3,6,1,2, ,1,6,1, ,3, , , , , , , , , , , ,2.54838709677419,.804722600077049
100672,1,1,13,13219,3,S,2,1,2,3,8,2, ,2, , , ,2,2,1,11,2,1, , , , , , , , , ,1,1,1,1,9,1,2,1,2,1,1,1,2,1, , , , , , , , , , , , , ,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,8,2,8, , , , , , , , , , , , ,2,2,2,54,2, , , ,2,3,6,2, ,2,98,1, ,8, , , , , , , , , , , ,2.16129032258065,.682486255761548
100676,1,1,12,12095,3,S,1,1,2,2,2,2, ,2, , , ,1,2,2,3,2,1, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,8,8,8, , , , , , , , , , , , ,2,2,2,77,2, , , ,1,3,3,2, ,1,4,1, ,3, , , , , , , , , , , ,1.70967741935484,.539877187393463
100680,1,1,36,36119,1,U,2,2,2,2, , ,1,1,1, ,3, , , , , , ,2,2,2,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,2,2,2, , , , , , , , , , , , , ,1, ,17, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,1, ,2,1,2,1,2,2,2,2,2,2,2,2,2,43,1,0,2,0,2,8,1,2, ,3,9,1, ,2, , , , , , , , , , , ,5.12903225806452,1.61963156218039
100692,1,1,39,39049,2,U,1,1,2,3,1,1, ,1,1, ,2, , , , , , ,2,2,2,2,2,2,2, , ,1,1,1,1,3,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,6,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , ,2,2,2,52,2, , , ,1,6,1,2, ,1,5,1, ,2, , , , , , , , , , , ,1.38709677419355,.438013567130546
100695,1,1,45,45085,3,U,2,2,2,2, , ,1,1,1, ,3, , , , , , ,2,1,2,2,2,2,1, ,2,1,1,1,1,3,2,2,1,2,2,1,2,2,2, , , , , , , , , , , , , ,1, ,38, , ,2, , ,2,2, , , ,2,2, , , ,2,1,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,1,1,1,2,1,3, ,2,2,2,2,2,2,2,2,2,57,2, , , ,2,3,1,2, ,1,7,1, ,2, , , , , , , , , , , ,2.7741935483871,.876027134261091
100703,1,1,36,36029,1,S,2,2,2,1, , ,1,1,1, ,4, , , , , , ,1,1,1,1,2,1,2, ,2,1,1,1,2,8,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,13, , ,2, , ,1,2, , , ,1,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,8,2,8,1,2,1,1,3, ,2,2,2,2,2,2,2,2,2,51,2, , , ,2,5,1,2, ,1,6,1, ,2, , , , , , , , , , , ,4.12903225806452,1.30385433936535
100707,1,1,18,18057,2,S,2,1,1,2,1,1, ,1,1, ,2, , , , , , ,1,1,2,2,1,1,1,2, ,1,1,1,1,3,1,1,1,2,2,1,2,2,1, , , , , , , , , , , , , ,1, ,20, , ,2, , ,2,2, , , ,1,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,44,1,0,0,2,2,6,4,2, ,1,99,1, ,3, , , , , , , , , , , ,2.09677419354839,.662113531708965
100717,1,1,39,39095,2,U,2,2,2,4, , ,2,2, , , ,2,2,2,3,2,1, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,1, , , , , , , , , , , , ,2,2,2,99,1,1,1,0,1,3,3,2, ,2,4,1, ,3, , , , , , , , , , , ,1.51612903225806,.478759015235713
100726,1,1,45,45027,3,R,2,1,2,1,1,1, ,1,1, ,2, , , , , , ,1,1,1,2,2,1,2,2, ,1,2,1,1,3,1,1,1,2,1,1,3,2,1, , , , , , , , , , , , , ,1, ,32, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,2,1,2,2,2,2,3, ,2,2,2,2,1,2,2,2,2,49,2, , , ,2,6,1,2, ,1,6,1, ,2, , , , , , , , , , , ,1.83870967741935,.58062263549863
100729,1,1,37,37051,3,R,2,1,1,2,1,1, ,1,1, ,4, , , , , , ,1,2,2,2,2,1,2, , ,1,2,1,1,3,1,1,2,2,2,1,2,2,1, , , , , , , , , , , , , ,1, ,9, , ,2, , ,2,2,2,2,2, , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,1,2, ,2,2,3, ,2,2,2,2,2,2,2,2,2,32,1,1,1,1,2,6,1,2, ,2,7,1, ,2, , , , , , , , , , , ,1,.315777222815045
100730,1,1,39,39093,2,S,1,1,2,2,1,1, ,1,1, ,3, , , , , , ,1,1,1,2,2,1,2,1, ,1,1,1,1,3,1,1,1,2,1,1,2,2,1, , , , , , , , , , , , , ,1, ,12, , ,2, , ,2,2, , , ,2,1, , , ,2,1,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,2,1,2,1,3, ,2,2,2,2,1,2,1,1,2,37,1,1,1,0,2,5,1,2, ,1,7,3, ,2, , , , , , , , , , , ,2.74193548387097,.8658407722348
100731,1,1,39,39031,2,R,2,1,2,5,2,2, ,2, , , ,2,2,2,10,2,1, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , , , , , , , , , , , , , ,1,1,2,8, , , , , , , , , , , , , , , ,82,2, , , ,1,3,3,2, ,1,1,1,2, , , , , , , , , , , , ,2.67741935483871,.845468048182216
100733,1,1,34,34027,1,S,2,1,1,2,9,2, ,2, , , ,1,2,2,1,1,1, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,33, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,2, , , , ,2,1, , , , , , , , , ,59,1,0,0,1,1,8,4,2, ,1,3,1,1,2, , , , , , , , , , , ,1.74193548387097,.550063549419755
100742,1,1,51,51153,3,S,2,1,1,2,1,1, ,1,1, ,3, , , , , , ,1,2,2,2,2,1,2, , ,1,1,1,2,8,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,36, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2, ,2,1,3, ,2,2,2,2,2,2,2,2,2,69,2, , , ,2,8,3,2, ,9,99,1, ,2, , , , , , , , , , , ,1.45161290322581,.458386291183129
100750,1,1,42,42065,1,R,1,1,1,2,1,1, ,1,1, ,3, , , , , , ,2,2,2,1,2,2,2,2, ,1,1,1,1,1,1,1,1,1,2,1,2,2,1, , , , , , , , , , , , , ,1, ,43, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,9,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,65,2, , , ,2,8,3,2, ,1,9,9, ,2, , , , , , , , , , , ,1.51612903225806,.478759015235713
100751,1,1,42,42095,1,S,1,2,2,3, , ,1,2,1, ,3, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,44, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,2,2,3, ,2,2,2, ,2,2,2,2,2,61,2, , , ,2,3,4,2, ,1,98,1, ,3, , , , , , , , , , , ,3.03225806451613,.957518030471426
100754,1,1,13,13215,3,U,1,2,2,3, , ,1,2,1, ,98, , , , , , ,2,2,2,2,2,2,2, , ,1,1,1,2,7,1,2,2,2,2,2,2,2,1, , , , , , , , , , , , , ,1, ,54, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2,2,3, ,2,2,2, ,2,2,2,2,2,78,2, , , ,2,3,3,2, ,2,99,1, ,2, , , , , , , , , , , ,2.06451612903226,.651927169682673
100756,1,1,27,27037,2,R,1,1,1,1,1,1, ,1,1, ,3, , , , , , ,1,1,1,2,2,1,2,2, ,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , ,1, ,12, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,2,2,3, ,2,1,2,2,2,2,2,2,2,39,2, , , ,3,8,4,1,1,1,6,1, ,2, , , , , , , , , , , ,2.09677419354839,.662113531708965
100757,1,1,36,36055,1,S,1,1,2,3,1,1, ,1,1, ,3, , , , , , ,1,2,1,2,2,2,2, , ,1,1,1,2,9,1,2,2,2,2,1,2,2,2, , , , , , , , , , , , , ,1, ,50, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,1,1, ,2,1,2,1,2,2,2,2,2,2,2,2,2,67,2, , , ,3,3,3,2, ,1,6,1, ,2, , , , , , , , , , , ,4.19354838709677,1.32422706341793
100768,1,1,51,51059,3,S,2,1,2,2,1,1, ,1,1, ,5, , , , , , ,1,1,1,2,1,2,2,1, ,1,1,1,1,1,1,1,1,1,1,1,2,2,1, , , , , , , , , , , , , ,1, ,12, , ,2, , ,2,2, , , ,1,1, , , ,2,1,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,43,1,0,13,1,2,6,4,2, ,1,6,1, ,2, , , , , , , , , , , ,2.45161290322581,.774163513998174
100777,1,1,13,13121,3,S,1,1,1,3,1,2, ,1,1, ,2, , , , , , ,1,1,2,1,1,1,1,1, ,1,2,1,1,3,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,6,2, ,1,1, , , ,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,1,2,2, , , , , , , , , , , , ,2,1,2,27,2, , , ,2,7,1,2, ,1,9,1, ,2, , , , , , , , , , , ,1.2258064516129,.387081756999087
100784,1,1,29,29037,2,S,2,2,2,1, , ,1,1,1, ,4, , , , , , ,1,1,2,2,2,1,2, ,1,1,1,1,1,3,1,1,1,2,1,1,2,2,1, , , , , , , , , , , , , ,1, ,12, , ,2, , ,2,2, , , ,1,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,1,1,3, ,2,1,2,2,2,2,2,1,2,42,1,0,1,0,2,6,1,2, ,1,8,1, ,2, , , , , , , , , , , ,3.25806451612903,1.02882256465547
100789,1,1,21,21163,3,R,1,2,2,3, , ,1,2,1, ,1, , , , , , ,2,2,2,2,2,2,2, , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,50, , ,8, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,8,2, ,2,1,3, ,2, ,2, ,2,2, , , ,75,2, , , ,2,3,3,2, ,1,99,1,2, , , , , , , , , , , , ,4.03225806451613,1.27329525328647
100790,1,1,48,48245,3,U,1,1,1,2,1,2, ,1,1, ,4, , , , , , ,2,1,2,2,2,2,2,2, ,1,2,1,2,98,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,10, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,1,2,2,2,2,1,3, ,1,2,2, ,2,2,2,2,2,57,2, , , ,2,3,4,2, ,2,98,1, ,2, , , , , , , , , , , ,3,.947331668445134
100791,1,1,19,19033,2,R,2,1,2,2,1,1, ,1,1, ,2, , , , , , ,1,1,2,2,2,1,2,2, ,1,1,1,1,3,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,1, ,18, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,2,2,8,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,38,1,0,1,2,2,6,1,2, ,1,5,1, ,1, , , , , , , , , , , ,2.2258064516129,.702858979814132
100794,1,1,28,28003,3,R,1,2,2,3, , ,2,2, , , ,2,2,2,8,1,1, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,2,8,2,2, , , , , , , , , , , , ,2,2,2,81,2, , , ,1,6,3,2, ,1,4,1, ,3, , , , , , , , , , , ,1,.315777222815045
100795,1,1,12,12053,3,S,1,1,1,9,1,1, ,1,1, ,4, , , , , , ,9,1,1,2,2,1,9,9, ,1,1,1,1,1,1,1,1,2,2,1,2,2,1, , , , , , , , , , , , , ,1, ,46, , ,2, , ,2,2, , , ,9,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,9,9,2,2,9,2,2,1,3, ,2,2,2,2,2,2,2,2,2,97,2, , , ,3,6,3,2, ,1,6,1, ,2, , , , , , , , , , , ,1.54838709677419,.488945377262005
100797,1,1,48,48201,3,U,1,1,2,4,1,1, ,1,1, ,4, , , , , , ,1,1,2,2,2,1,1,2, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,5, , ,2, , ,1,1,1,1,1,1,2,2,2,2,1,1,2, , ,2,1,1,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,2,1,2,1,1,2,1,2, , , , , , ,2,2,2,2,2,2,2,1,1,2,2, ,1, ,1,2, , , ,35,1,1,0,0,2,8,4,2, ,1,3,3,1,3, , , , , , , , ,YAHOO PERSONALS, , ,4.16129032258065,1.31404070139164
100800,1,1,23,23005,1,S,1,1,1,2,1,1, ,1,1, ,4, , , , , , ,2,1,2,2,2,1,2,2, ,1,2,1,1,3,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,2, ,10, , ,2, , ,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,99,1,99,99,99,2,6,1,2, ,9,99,1, ,1, , , , , , , , , , , ,1.7741935483871,.560249911446047
100802,1,1,48,48037,3,S,1,2,1,5, , ,1,1,1, ,1, , , , , , ,2,2,2,2,2,2,2, , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,3,1,3, , ,2, , ,2,1,1,2,2, , , , , , , , ,2, ,2,2,1,1,2,3,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2, ,2,1,1,1,1,1,2, ,8,1,2,2,2,40,2, , , ,1,2,3,2, ,1,1,1, ,3, , , , , , , , , , , ,1.70967741935484,.539877187393463
